adj,noun,f,ipm
"русский","язык",1611, 16.58541
"русский","человек",256, 2.63555
"русский","слово",203, 2.08991
"русский","народ",131, 1.34866
"русский","печь",117, 1.20453
"русский","литература",106, 1.09128
"русский","солдат",91, 0.93685
"русский","земля",86, 0.88538
"русский","армия",76, 0.78243
"русский","речь",73, 0.75154
"русский","песня",71, 0.73095
"русский","моряк",69, 0.71036
"русский","музей",59, 0.60741
"русский","писатель",58, 0.59712
"русский","женщина",57, 0.58682
"русский","печка",56, 0.57653
"русский","царь",55, 0.56623
"русский","поэт",53, 0.54564
"русский","ученый",53, 0.54564
"русский","америка",53, 0.54564
"русский","история",49, 0.50446
"русский","флот",48, 0.49416
"русский","мальчик",45, 0.46328
"русский","сказка",45, 0.46328
"русский","буква",43, 0.44269
"русский","революция",43, 0.44269
"русский","войско",40, 0.41180
"русский","девушка",40, 0.41180
"русский","город",39, 0.40151
"русский","богатырь",38, 0.39121
"русский","офицер",37, 0.38092
"русский","корабль",37, 0.38092
"русский","инженер",37, 0.38092
"русский","остров",33, 0.33974
"русский","рабочий",31, 0.31915
"русский","мужик",30, 0.30885
"русский","матрос",29, 0.29856
"русский","пословица",29, 0.29856
"русский","имя",29, 0.29856
"русский","купец",29, 0.29856
"русский","школа",29, 0.29856
"русский","эмигрант",28, 0.28826
"русский","деревня",27, 0.27797
"русский","индеец",27, 0.27797
"русский","лицо",27, 0.27797
"русский","художник",26, 0.26767
"русский","правительство",25, 0.25738
"русский","воин",25, 0.25738
"русский","река",24, 0.24708
"русский","девочка",23, 0.23679
"русский","обычай",23, 0.23679
"русский","природа",22, 0.22649
"русский","мальчишка",22, 0.22649
"русский","душа",21, 0.21620
"русский","лес",19, 0.19561
"русский","ребята",19, 0.19561
"русский","розуэлл",18, 0.18531
"русский","мафия",18, 0.18531
"русский","фамилия",18, 0.18531
"русский","летчик",18, 0.18531
"русский","зима",18, 0.18531
"русский","князь",18, 0.18531
"русский","друг",17, 0.17502
"русский","интеллигенция",17, 0.17502
"русский","крепость",17, 0.17502
"русский","турист",16, 0.16472
"русский","красавица",16, 0.16472
"русский","мастер",16, 0.16472
"русский","революционер",15, 0.15443
"русский","ракета",15, 0.15443
"русский","флаг",15, 0.15443
"русский","сапог",15, 0.15443
"русский","подросток",15, 0.15443
"русский","городок",15, 0.15443
"русский","сарафан",14, 0.14413
"русский","парень",14, 0.14413
"русский","ребенок",14, 0.14413
"русский","крестьянин",14, 0.14413
"русский","дух",14, 0.14413
"русский","поговорка",14, 0.14413
"русский","пароход",14, 0.14413
"русский","колония",13, 0.13384
"русский","изба",13, 0.13384
"русский","кровь",13, 0.13384
"русский","алфавит",13, 0.13384
"русский","поэзия",13, 0.13384
"русский","словесность",13, 0.13384
"русский","происхождение",12, 0.12354
"русский","оружие",12, 0.12354
"русский","север",12, 0.12354
"русский","государство",12, 0.12354
"русский","император",12, 0.12354
"русский","культура",12, 0.12354
"русский","гостеприимство",12, 0.12354
"русский","водка",11, 0.11325
"русский","текст",11, 0.11325
"русский","путешественник",11, 0.11325
"русский","свинья",11, 0.11325
"русский","граница",11, 0.11325
"русский","классика",11, 0.11325
"русский","судно",11, 0.11325
"русский","капитан",11, 0.11325
"русский","фронт",11, 0.11325
"русский","романс",10, 0.10295
"русский","словарь",10, 0.10295
"русский","газета",10, 0.10295
"русский","товарищ",10, 0.10295
"русский","интеллигент",10, 0.10295
"русский","книга",10, 0.10295
"русский","перевод",10, 0.10295
"русский","мореход",10, 0.10295
"русский","разведчик",10, 0.10295
"русский","медведь",10, 0.10295
"русский","простор",10, 0.10295
"русский","поселение",10, 0.10295
"русский","название",9, 0.09266
"русский","адмирал",9, 0.09266
"русский","ухо",9, 0.09266
"русский","море",9, 0.09266
"русский","общество",9, 0.09266
"русский","былина",9, 0.09266
"русский","старина",9, 0.09266
"русский","посол",9, 0.09266
"русский","педагог",9, 0.09266
"русский","борзая",9, 0.09266
"русский","разведка",9, 0.09266
"русский","классик",8, 0.08236
"русский","поле",8, 0.08236
"русский","искусство",8, 0.08236
"русский","фольклор",8, 0.08236
"русский","учительница",8, 0.08236
"русский","артиллерия",8, 0.08236
"русский","надпись",8, 0.08236
"русский","дворянство",8, 0.08236
"русский","агент",8, 0.08236
"русский","мастеровой",8, 0.08236
"русский","жизнь",8, 0.08236
"русский","баба",8, 0.08236
"русский","равнина",8, 0.08236
"русский","генерал",8, 0.08236
"русский","стиль",8, 0.08236
"русский","брат",8, 0.08236
"русский","монах",8, 0.08236
"русский","селение",8, 0.08236
"русский","авангард",7, 0.07207
"русский","девчонка",7, 0.07207
"русский","село",7, 0.07207
"русский","танк",7, 0.07207
"русский","баня",7, 0.07207
"русский","пейзаж",7, 0.07207
"русский","церковь",7, 0.07207
"русский","жена",7, 0.07207
"русский","полководец",7, 0.07207
"русский","сердце",7, 0.07207
"русский","промышленник",7, 0.07207
"русский","сила",7, 0.07207
"русский","белогвардеец",7, 0.07207
"русский","стенка",7, 0.07207
"русский","полковник",7, 0.07207
"русский","рок",6, 0.06177
"русский","слух",6, 0.06177
"русский","мама",6, 0.06177
"русский","полицейский",6, 0.06177
"русский","кухня",6, 0.06177
"русский","раскол",6, 0.06177
"русский","барин",6, 0.06177
"русский","эмиграция",6, 0.06177
"русский","семья",6, 0.06177
"русский","партизан",6, 0.06177
"русский","рулетка",6, 0.06177
"русский","хлеб",6, 0.06177
"русский","музыкант",6, 0.06177
"русский","снег",6, 0.06177
"русский","вариант",6, 0.06177
"русский","рубашка",6, 0.06177
"русский","снайпер",6, 0.06177
"русский","красота",6, 0.06177
"русский","еврей",6, 0.06177
"русский","химик",6, 0.06177
"русский","наука",6, 0.06177
"русский","кандыз",6, 0.06177
"русский","власть",6, 0.06177
"русский","царство",6, 0.06177
"русский","программа",6, 0.06177
"русский","престол",6, 0.06177
"русский","патриот",6, 0.06177
"русский","шлем",6, 0.06177
"русский","школьник",6, 0.06177
"русский","икра",6, 0.06177
"русский","звездолет",6, 0.06177
"русский","композитор",6, 0.06177
"русский","большевик",6, 0.06177
"русский","живописец",6, 0.06177
"русский","коммунист",6, 0.06177
"русский","астроном",6, 0.06177
